Model,Completion Rate,Accuracy Once,Accuracy Range,Accuracy Periodic,Average Accuracy
mistral,70.29423076923078,0.4791666666666667,0.625,0.2234042553191489,0.4425236406619385
llama3.1-8b-instruct,64.38461538461539,0.4518518518518518,0.5607476635514018,0.2578947368421053,0.4234980840817863
qwen2.5,60.196153846153855,0.4634146341463415,0.5794392523364486,0.4125,0.48511796216093
