Model,Completion Rate,Accuracy Once,Accuracy Range,Accuracy Periodic,Average Accuracy
Mistral_200_4000_max_greedy,71.24038461538461,0.4822695035460992,0.5777777777777777,0.3214285714285714,0.4604919509174828
Llama_200_4000_max_greedy,64.50961538461539,0.4525547445255474,0.5675675675675675,0.227027027027027,0.4157164463733807
Qwen_200_4000_max_greedy,51.90192307692308,0.4153846153846154,0.6455696202531646,0.3288590604026846,0.4632710986801548
Mistral_4000_h2o,71.19807692307694,0.5472972972972973,0.5714285714285714,0.3128205128205128,0.4771821271821271
Qwen_4000_h2o,54.99807692307693,0.4264705882352941,0.4938271604938271,0.2848101265822785,0.4017026251037999
Llama_4000_h2o,64.28653846153847,0.4632352941176471,0.6126126126126126,0.2185792349726776,0.4314757139009791
Mistral_1000_snapkv,71.2673076923077,0.5602836879432624,0.5842696629213483,0.2755102040816326,0.4733545183154145
