Model,Completion Rate,Accuracy Once,Accuracy Range,Accuracy Periodic,Average Accuracy
Llama,63.938461538461546,0.4666666666666667,0.5909090909090909,0.1639344262295081,0.4071700612684219
Mistral,69.48269230769232,0.4965034965034965,0.5172413793103449,0.2590673575129533,0.4242707444422649
Qwen,66.6423076923077,0.5492957746478874,0.49107142857142855,0.33519553072625696,0.4585209113151909
